time	V(out)
Step Information: Run=1  (Run: 1/100)
4.966639013709207e-04	5.404755e-03
4.967943637373189e-04	9.979376e-03
4.969507645523285e-04	1.858850e-02
4.971736513236178e-04	3.747545e-02
4.974768592489925e-04	7.655403e-02
4.979596494247486e-04	1.628783e-01
4.984491912425073e-04	2.686614e-01
4.990460570960631e-04	4.024000e-01
4.995869468715668e-04	5.112803e-01
5.000000000000000e-04	5.827804e-01
5.002234863665510e-04	6.075908e-01
5.005214681886190e-04	6.300762e-01
5.011174318327551e-04	6.580729e-01
5.017666466292427e-04	6.751460e-01
5.027592800206158e-04	6.884881e-01
5.040103547823317e-04	6.972932e-01
5.062282185355446e-04	7.049267e-01
5.092700056895772e-04	7.099255e-01
5.228991369172349e-04	7.162304e-01
6.693835119172350e-04	7.201014e-01
1.500000000000000e-03	7.206001e-01
1.510000000000000e-03	7.206001e-01
9.519765624999840e-03	7.206001e-01
9.998281249999829e-03	7.206001e-01
1.000000000000000e-02	7.206001e-01
Step Information: Run=23  (Run: 23/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.968359375000001e-04	4.968856e-15
4.980733420197035e-04	8.358556e-04
4.986004665711451e-04	3.234465e-03
4.988222565295514e-04	6.478975e-03
4.990062170529958e-04	1.184130e-02
4.991971830647237e-04	2.093480e-02
4.994911034547003e-04	4.250314e-02
4.999132894423389e-04	8.372278e-02
5.000000000000000e-04	9.387711e-02
5.000844371975277e-04	1.041574e-01
5.002533115925831e-04	1.231967e-01
5.005910603826940e-04	1.557873e-01
5.010869740169740e-04	1.943399e-01
5.015951037764560e-04	2.238481e-01
5.025396834190889e-04	2.627244e-01
5.034840372776409e-04	2.892862e-01
5.049364060229089e-04	3.155519e-01
5.064891066026771e-04	3.335229e-01
5.089320410304371e-04	3.507612e-01
5.117765213110497e-04	3.628813e-01
5.162833618418807e-04	3.738379e-01
5.218976017906821e-04	3.815141e-01
5.310153383951895e-04	3.882264e-01
5.505465883951895e-04	3.946419e-01
6.091403383951896e-04	3.997575e-01
8.923434633951898e-04	4.029703e-01
1.500000000000000e-03	4.037178e-01
1.510000000000000e-03	4.037178e-01
9.549062499999839e-03	4.037178e-01
9.998281249999829e-03	4.037178e-01
1.000000000000000e-02	4.037178e-01
Step Information: Run=24  (Run: 24/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.980733429451493e-04	4.981231e-15
4.986005183591199e-04	6.135274e-05
4.988076132437047e-04	2.403643e-04
4.989071999299732e-04	5.164195e-04
4.989863768095206e-04	9.576181e-04
4.990678625617762e-04	1.710350e-03
4.991792531298475e-04	3.313094e-03
4.993139647824484e-04	6.321355e-03
